,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT0002,54.9770124550965,5.074016666667,136764.8948819747,116768.29086588132,112032.81678292283
FT0004,56.9959000846868,13.086900000000002,5000480.167104191,4350175.366050135,4211894.886660829
FT0006,57.0288780481929,12.804283333333,2422.8189357738256,3410.220845240052,2933.1904634465027
FT0007,57.9756297182526,1.4832023620605466,8719.769467826989,7608.080457089997,8587.740015713925
FT0009,59.0138573720679,2.0481516621909166,259777.298346468,230757.78148143576,228142.32453587378
FT0010,59.0249641205099,3.3102205912272167,49201.705048553486,46506.06832411348,41761.065389480405
FT0013,60.0168266961095,2.04788665771485,7638.659013775835,5678.277018695447,6590.381417004111
FT0014,59.985289776117,13.103516666667,16075.994226887105,16048.728373611762,19260.750697659794
FT0055,62.9640281133491,0.6353636423746749,547.3786796101397,535.0725773272761,2792.3880884800246
FT0056,69.0092729974352,5.1238998413086,12690.568814045306,8154.122549387843,8134.835455425158
FT0057,68.9957430014341,0.9844679514567051,81734.09583670515,71164.15897439205,56729.30785834025
FT0058,69.0341789648657,3.593880173746917,3107.8036441756803,3329.573810131685,1532.4803454647665
FT0059,70.9459784235282,5.06569798583985,1945.4869724418013,2414.384678702918,2227.904233333248
FT0061,71.0502697272172,1.2504524230957033,4422.495681083106,3700.750543584614,4054.6566989029643
FT0064,72.9697046312227,13.519133333333,120738.80595499491,104324.4542518917,103973.3461663013
FT0065,73.0292708219573,2.3476500000000002,14371.172911291447,11869.065765374566,11764.179634911196
FT0066,74.0247523993996,6.66164627075195,6032.2074179225165,4552.721626160029,5770.637570166815
FT0067,74.0248278730961,5.905233333333,4465.555750905949,4234.193138709262,4830.153918879848
FT0068,74.968363127845,13.519132995605467,10073.444988911411,6989.417008528618,8759.78657737434
FT0069,74.9908640943882,1.3502,13090.28805909103,9216.385253645041,10781.91272320812
FT0070,77.0397018465466,1.2837024688720702,32973.87615496986,28621.97800583148,23328.058765036876
FT0071,78.0429012929868,1.2837024688720702,5153.024399410172,3694.324639479916,2583.5980846884195
FT0072,78.9188456214371,5.007516666667,286502.6041311657,281302.31415766344,266550.29730726616
FT0076,79.957500320938,5.8719833333330005,77827.21199926453,71861.76898435327,72407.29209450749
FT0077,79.9572024552345,0.9346008936564133,184451.33316449076,160120.68293657218,160503.63236176514
FT0078,79.9572532502334,8.0663838704427,48195.12879922324,34218.77718617719,48795.25492559095
FT0080,80.0117572415868,13.070282999674482,2315.556575915628,1509.1425800546776,1653.5267658408823
FT0081,79.9952506814236,0.9262753740944784,3399.066792216939,3350.9803827419905,3299.90731266665
FT0082,79.9949410446525,5.855544535319017,999.9337267948797,998.5022830263749,958.1406575655849
FT0083,80.9747746400529,5.074016666667,146190.9846220665,139345.573045296,138554.1090903941
FT0084,80.916881953994,5.007456461588533,406915.48648521974,382850.90330374846,348060.63101124775
