,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML,uniqueIon,example_data_for_colab.xcms_example_data..B1_NIST1950_1_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_2_6540.mzML,example_data_for_colab.xcms_example_data..B1_NIST1950_3_6540.mzML,example_data_for_colab.xcms_example_data..blank.2_6540.mzML
4,54.97700987780368,5.056116666666998,136569.50459815902,116534.69867583353,111613.26863497168,366.4675384742622,True,,,,
15,59.047745979723935,2.0561166666670005,2443.1341151842016,2698.168351328012,1974.829373947387,987.4146869736935,True,,,,
16,59.047745979723935,3.3561166666670017,709.5505771019976,771.8114261438518,487.2305006564105,243.61525032820526,True,,,,
20,61.01659713564749,5.656116666666996,3386.9504021143093,1922.358782070773,2719.6530383458407,961.1793910353865,True,,,,
30,74.02466883667019,5.856116666666996,4471.414979945454,5008.121926492577,4331.050602491923,2165.5253012459616,True,,,,
33,74.96833589262735,13.456116666666968,10180.1653378156,6663.591327880815,8538.543594910236,3331.7956639404074,True,,,,
40,78.04310236818397,1.256116666667,4058.414864619818,3167.470104788872,2099.9929065795795,1049.9964532897898,True,,,,
47,80.9168687913066,4.956116666667,406083.0179984862,383085.1255309866,346544.5877723693,1778.7232690931646,True,406083.017998486,383085.125530987,346544.587772369,1778.72326909316
53,80.96901166346194,0.956116666667,11935.263600498774,2823.871847258169,4667.4536688104,961.263934918944,True,,,,
62,82.97207581002439,5.156116666666998,60825.223450933496,52979.64657780108,44487.11351504609,22243.556757523045,True,,,,
65,83.01382894397128,4.356116666667001,633.5413171197278,237.26578048900572,109.01342916653596,54.50671458326798,True,,,,
71,85.02934984185474,8.056116666666988,39159.12389442138,43352.48572574696,43492.25663314483,479.8724346449006,True,,,,
80,87.04514506885462,1.4561166666670002,173532.23581523856,127722.3948751366,158865.4416983109,12172.829621756307,True,,,,
