Row.names,mz,mzmin,mzmax,rt,rtmed,rtmin,rtmax,npeaks,X1,ms_level,control_1.mzML,control_2.mzML,control_3.mzML
FT0001,60.99271125,60.99263582,60.99281627,24.40953333,1464.572,1463.853,1465.189,3,3,1,15742.89142,23102.47311,21274.04159
FT0002,61.98805702,61.98793948,61.98812098,24.14973333,1448.984,1448.64,1449.029,3,3,1,39207.43376,39742.91229,37453.93073
FT0003,61.98802339,61.98797227,61.98819076,24.41503333,1464.902,1463.853,1465.189,3,3,1,35692.14149,38376.50186,46028.0227
FT0004,62.01388966,61.99838102,62.02956853,2.018958333,121.1375,120.597,122.562,6,3,1,29876.2055,17009.2473,14652.28852
FT0005,61.9983609,61.99835198,61.99836973,3.616133333,216.968,216.929,217.899,3,3,1,233627.7355,218358.6424,225214.2906
FT0006,61.99836226,61.99835138,61.99836707,5.7671,346.026,346.006,348.051,3,3,1,215506.0485,812061.7653,168090.826
FT0007,61.9983713,61.99837065,61.99837196,5.038675,302.3205,302.309,302.332,2,2,1,306072.8453,241827.7298,276217.6176
FT0008,61.9983528,61.99834781,61.99835779,4.012516667,240.751,240.74,240.762,2,2,1,128455.2096,85960.27828,118940.7004
FT0009,61.99835125,61.99833825,61.99836426,0.959125,57.5475,57.085,58.01,2,2,1,380072.0897,356764.2931,355263.5577
FT0010,61.99836194,61.99835802,61.99836587,6.089683333,365.381,364.894,365.868,2,2,1,180694.2941,162734.3525,176858.6082
FT0011,61.99833651,61.99833089,61.99834212,23.32770833,1399.6625,1398.663,1400.662,2,2,1,417663.6344,380653.1456,369048.6468
FT0012,62.99726265,62.99717958,62.99730863,12.60263333,756.158,755.151,756.202,3,3,1,32323.49955,33601.59854,27400.46885
FT0013,63.99231529,63.9921895,63.99244108,2.034966667,122.098,121.634,122.562,2,2,1,31200.94356,21662.49447,15955.95531
FT0014,68.99640716,68.99618364,68.99676086,0.96725,58.035,58.01,58.079,3,3,1,26986.07831,29846.70352,24084.04733
FT0015,71.01378109,71.01376952,71.01378666,7.38975,443.385,443.345,444.319,3,3,1,376798.5806,351589.4883,394614.1738
FT0016,71.01374112,71.01363144,71.01375328,2.489583333,149.375,146.422,149.44,3,3,1,330559.1524,337486.0629,389998.7653
FT0017,71.01375347,71.01373222,71.01377473,6.081733333,364.904,364.875,364.933,2,2,1,66220.35453,57650.06217,48882.69662
FT0018,71.01365902,71.01359799,71.01372004,3.003208333,180.1925,180.16,180.225,2,2,1,71946.42118,70356.3614,53970.34325
FT0019,71.01374388,71.01369062,71.01379715,5.750708333,345.0425,345.013,345.072,2,2,1,76589.33108,61189.95714,35373.17195
FT0020,71.01372167,71.01370694,71.01373639,6.669283333,400.157,399.631,400.683,2,2,1,103426.4615,95909.05213,80482.6652
FT0021,71.01376322,71.01374516,71.01378129,5.1628,309.768,309.26,310.276,2,2,1,103929.2213,73461.63716,65835.60092
FT0022,72.04511884,72.04510398,72.04520053,3.549916667,212.995,212.957,213.927,3,3,1,266878.4972,230855.8071,198492.2965
FT0023,72.96967501,72.96964411,72.96971202,12.58681667,755.209,755.151,756.158,3,3,1,3443828.755,3288741.466,2770844.545
FT0024,73.02918592,73.02909854,73.02923313,3.400316667,204.019,203.997,205.051,3,3,1,558096.7642,421629.3342,349879.6699
FT0025,73.02925692,73.02921233,73.02926623,6.893216667,413.593,413.534,414.547,3,3,1,101955.5428,86514.15708,70338.97159
FT0026,73.02923359,73.02920659,73.02924378,5.816416667,348.985,348.051,349.998,3,3,1,66349.7439,58418.50461,47528.79566
FT0027,72.9929505,72.99282188,72.99306619,1.7448,104.688,102.722,104.752,3,3,1,71943.11668,103630.5329,153760.008
FT0028,73.02913882,73.02910534,73.02917231,2.6393,158.358,157.345,159.371,2,2,1,76776.10643,70651.31738,56372.51245
FT0029,72.99317221,72.99310734,72.99323708,7.405808333,444.3485,443.326,445.371,2,2,1,24850.17251,23873.88701,19514.04933
FT0030,74.02457537,74.02452672,74.0246277,5.8995,353.97,353.951,354.009,3,3,1,212509.5015,189302.9715,155695.1882
FT0031,74.0245658,74.02444996,74.02462227,3.549916667,212.995,212.957,213.927,3,3,1,793611.8346,700707.4404,595501.6402
FT0032,74.024527,74.02448637,74.02456764,4.442841667,266.5705,264.596,268.545,2,2,1,118208.3178,91365.38842,102932.9351
FT0033,74.99068782,74.99047994,74.99076355,1.298266667,77.896,77.875,77.94,3,3,1,277235.9957,266827.8079,278633.793
FT0034,74.9677233,74.96759628,74.96774681,12.58681667,755.209,755.151,756.158,3,3,1,239314.5684,234864.0721,202508.069
FT0035,74.99062225,74.9904923,74.99068544,0.685883333,41.153,41.127,43.183,3,3,1,88196.44307,123816.3889,90393.88591
FT0036,74.99063817,74.99056616,74.99071018,23.394275,1403.6565,1402.635,1404.678,2,2,1,15901.3512,357065.5565,184608.8353
FT0037,75.04496532,75.04466406,75.04498103,1.563066667,93.784,93.764,93.829,3,3,1,28280.93245,26714.67588,28700.36033
FT0038,75.0276224,75.02751666,75.02772815,3.565958333,213.9575,213.927,213.988,2,2,1,19273.66419,15897.70758,8565.647343
FT0039,75.00860012,75.00859494,75.00860529,4.57525,274.515,272.54,276.49,2,2,1,44783.83684,26098.00806,34954.48689
FT0040,78.95894036,78.95890512,78.95898226,9.176583333,550.595,550.579,550.636,3,3,1,66284.10519,67771.96767,65103.91623
FT0041,78.95897873,78.9589647,78.95902955,7.93495,476.097,475.163,476.116,3,3,1,204716.2794,122451.9188,173073.7909
FT0042,78.95898015,78.9589483,78.95898462,6.7105,402.63,401.618,402.669,3,3,1,837175.6643,780968.0281,663940.6326
FT0043,78.95902169,78.95901625,78.95903015,7.1736,430.416,429.482,431.429,3,3,1,1682835.443,1263725.371,1448035.876
FT0044,78.95899338,78.95898627,78.95903788,8.349033333,500.942,499.99,501.92,3,3,1,302755.5749,343334.853,282269.3065
FT0045,78.9187176,78.91857677,78.91872522,3.400316667,204.019,203.065,205.983,3,3,1,121327.1369,75528.68417,90003.1966
FT0046,79.95718544,79.95700218,79.95719668,5.932283333,355.937,355.002,355.957,3,3,1,25020.63475,33804.82151,22059.73189
FT0047,80.01161564,80.01159901,80.01163227,12.312875,738.7725,738.283,739.262,2,2,1,26656.59508,9049.229059,21657.15527
FT0048,80.97435396,80.97430861,80.97442113,3.268566667,196.114,195.082,197.042,3,3,1,159972.9692,176806.3206,152832.4758
FT0049,80.91658047,80.91650262,80.91664211,3.400316667,204.019,203.065,205.983,3,3,1,110490.7599,66140.03531,87282.6787
