,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT0002,54.9770124550965,5.074016666667,1.0,1.0,1.0
FT0004,56.9959000846868,13.086900000000002,1.0,1.0,1.0
FT0006,57.0288780481929,12.804283333333,1.0,1.0,1.0
FT0007,57.9756297182526,1.4832023620605466,1.0,1.0,1.0
FT0009,59.0138573720679,2.0481516621909166,1.0,1.0,1.0
FT0010,59.0249641205099,3.3102205912272167,1.0,1.0,1.0
FT0013,60.0168266961095,2.04788665771485,1.0,1.0,1.0
FT0014,59.985289776117,13.103516666667,1.0,1.0,1.0
FT0055,62.9640281133491,0.6353636423746749,0.0,1.0,1.0
FT0056,69.0092729974352,5.1238998413086,1.0,1.0,1.0
FT0057,68.9957430014341,0.9844679514567051,1.0,1.0,1.0
FT0058,69.0341789648657,3.593880173746917,1.0,1.0,1.0
FT0059,70.9459784235282,5.06569798583985,1.0,1.0,1.0
FT0061,71.0502697272172,1.2504524230957033,1.0,1.0,1.0
FT0064,72.9697046312227,13.519133333333,1.0,1.0,1.0
FT0065,73.0292708219573,2.3476500000000002,1.0,1.0,1.0
FT0066,74.0247523993996,6.66164627075195,1.0,1.0,1.0
FT0067,74.0248278730961,5.905233333333,1.0,1.0,1.0
FT0068,74.968363127845,13.519132995605467,1.0,1.0,1.0
FT0069,74.9908640943882,1.3502,1.0,1.0,1.0
FT0070,77.0397018465466,1.2837024688720702,1.0,1.0,1.0
FT0071,78.0429012929868,1.2837024688720702,1.0,1.0,1.0
FT0072,78.9188456214371,5.007516666667,1.0,1.0,1.0
FT0076,79.957500320938,5.8719833333330005,1.0,1.0,1.0
FT0077,79.9572024552345,0.9346008936564133,1.0,1.0,1.0
FT0078,79.9572532502334,8.0663838704427,1.0,1.0,1.0
FT0080,80.0117572415868,13.070282999674482,1.0,1.0,1.0
FT0081,79.9952506814236,0.9262753740944784,1.0,1.0,1.0
FT0082,79.9949410446525,5.855544535319017,1.0,1.0,1.0
FT0083,80.9747746400529,5.074016666667,1.0,1.0,1.0
FT0084,80.916881953994,5.007456461588533,1.0,1.0,1.0
FT0085,80.9653683077689,0.9179670407614784,1.0,1.0,1.0
FT0088,81.9535038075319,0.9345921134947067,1.0,1.0,1.0
FT0090,81.9538831574673,5.872176106770834,1.0,1.0,1.0
FT0091,82.9542104954838,1.8489344278971334,1.0,1.0,1.0
FT0092,82.9721229457623,5.090622456868483,1.0,1.0,1.0
FT0093,82.975180195748,13.103516666667,1.0,1.0,1.0
FT0094,83.014035866169,1.0842,1.0,1.0,1.0
FT0099,84.9514939650461,1.8489344278971334,1.0,1.0,1.0
FT0101,84.9907548672383,13.086900000000002,1.0,1.0,1.0
FT0102,85.029308451001,8.0331314086914,1.0,1.0,1.0
FT0104,85.0659429539695,1.0842185974121101,1.0,1.0,1.0
FT0106,87.045204705778,1.4166928654986932,1.0,1.0,1.0
FT0107,87.0089338318288,1.9486673990885335,1.0,1.0,1.0
FT0108,87.0451714756672,2.979366666667,1.0,1.0,1.0
FT0111,88.0407138167768,6.137966538493,1.0,1.0,1.0
FT0112,88.0120735224732,1.9486673990885335,1.0,1.0,1.0
FT0113,88.0481415322352,1.4167023976643882,1.0,1.0,1.0
FT0114,88.0041851352958,0.66859753926595,1.0,1.0,1.0
FT0115,89.0245487936496,2.1814165751139334,1.0,1.0,1.0
FT0118,89.0606974159988,1.4665666666669999,1.0,1.0,1.0
FT0119,88.9881283251719,8.049766666667,1.0,1.0,1.0
FT0120,89.0417243732261,1.117671076456705,1.0,1.0,1.0
FT0122,88.9879834708473,0.66859753926595,1.0,1.0,1.0
FT0126,90.0279719607675,2.1814165751139334,1.0,1.0,1.0
FT0135,91.0384990480652,3.0292333333330004,1.0,1.0,1.0
FT0137,91.0220683744291,1.36683578491211,1.0,1.0,1.0
FT0138,91.0551740107129,1.2504524230957033,1.0,1.0,1.0
FT0143,92.0476228650254,6.137966666666999,1.0,1.0,1.0
FT0144,92.0585343926904,1.233816666667,1.0,1.0,1.0
FT0147,92.9279004361515,5.074017333984367,1.0,1.0,1.0
FT0148,93.0345601109929,1.00109238179508,1.0,1.0,1.0
FT0149,93.0345601239635,1.0904593149820967,1.0,1.0,1.0
FT0150,94.0375571737717,1.0011014302571617,1.0,1.0,1.0
FT0151,94.0321760728033,1.166215896606445,1.0,1.0,1.0
